"batch","gbifID","genus","specificEpithet","decimalLatitude","decimalLongitude","eventDate","stateProvince","creator","license"
1,5292906860,"Penstemon","newberryi",39.705517,-120.641975,"2025-06-16T15:25:21","California","Lisa","CC_BY_NC_4_0"
1,5293050697,"Penstemon","newberryi",37.810635,-119.485558,"2025-06-19T18:36:02","California","mayamr","CC_BY_NC_4_0"
1,6334165478,"Penstemon","newberryi",38.022495,-119.262033,"2026-05-24T09:59:27","California","barryrice","CC_BY_NC_4_0"
1,4076251645,"Penstemon","davidsonii",50.289118,-122.832753,"2022-06-01T20:28:02","British Columbia","Shane Johnson","CC0_1_0"
1,4129874439,"Penstemon","davidsonii",41.36659,-122.198982,"2022-07-03T17:04","California","Linus Lancaster","CC_BY_NC_4_0"
1,5282402941,"Penstemon","davidsonii",49.150312,-124.0522,"2025-08-03T12:19:46","British Columbia","Sebastián Pardo","CC_BY_NC_4_0"
1,1640078620,"Penstemon","newberryi",36.403775,-118.590225,"2017-08-26T13:52:29","California","sweiser","CC_BY_NC_4_0"
1,5830523505,"Penstemon","davidsonii",48.026049,-121.68832,"2025-06-11T11:22:10","Washington","Kate Turner","CC_BY_NC_4_0"
1,4500481213,"Penstemon","davidsonii",44.093426,-121.761078,"2023-07-09T10:40:06","Oregon","blip3","CC_BY_NC_4_0"
1,4416714523,"Penstemon","davidsonii",49.6755,-125.425155,"2023-07-22T10:39:31","British Columbia","hannameyer","CC_BY_NC_4_0"
1,891125122,"Penstemon","davidsonii",47.465816,-121.454887,"2006-08-10T20:52:12","Washington","J Brew","CC_BY_4_0"
1,3455908601,"Penstemon","davidsonii",50.583743,-123.043289,"2021-08-01T12:04:35","British Columbia","cgooding","CC_BY_NC_4_0"
1,3872958691,"Penstemon","newberryi",38.710083,-120.143569,"2022-06-08T10:14","California","John Dumbacher","CC_BY_NC_4_0"
1,6440939108,"Penstemon","newberryi",40.558289,-121.531831,"2026-07-05T12:30:35","California","annieliveoak","CC_BY_NC_4_0"
1,6470079394,"Penstemon","davidsonii",50.048172,-122.951444,"2026-07-24T17:02:49","British Columbia","astrocloud10","CC_BY_NC_4_0"
1,6352630503,"Penstemon","newberryi",38.464337,-120.038789,"2026-05-28T19:57:58","California","wendy_gbbns","CC_BY_NC_4_0"
1,3456301777,"Penstemon","davidsonii",47.501473,-121.706238,"2021-03-23T12:30","Washington","rolandwirth","CC_BY_NC_4_0"
1,1993777417,"Penstemon","newberryi",40.498008,-121.49519,"2016-07-30T14:15","California","Todd Ramsden","CC_BY_4_0"
1,6442058706,"Penstemon","newberryi",39.204206,-120.267792,"2026-07-07T13:17:25","California","materago","CC_BY_NC_4_0"
1,3888964455,"Penstemon","davidsonii",49.749872,-125.295889,"2022-07-19T10:23","British Columbia","Steven Hayward","CC_BY_NC_4_0"
1,4936173611,"Penstemon","newberryi",36.801133,-118.402698,"2018-07-24T12:59:05","California","Matt Lavin","CC_BY_4_0"
